Pop	Latitude	Longitude
EMAC	44.5419	67.3972
STGEO	43.9592	69.1928
PIS	43.0664	70.8556
MYST	42.3439	70.9356
MON	41.7244	70.605
TBRO	41.9625	70.6533
GIL	41.4472	71.3936
THAM	41.3256	72.0633
BRID	41.3006	72.2311
CON	41.2828	72.2942
QUIN	41.2722	72.9094
HOUS	41.1708	73.1028
PEQ	41.1736	73.0564
MIAN	41.0156	73.5653
HUD	40.6958	74.0356
DEL	39.1122	75.9747
NAN	38.1689	75.8806
RAP	37.4933	76.3358
CHOW	36.0811	76.3522
ROA	35.9228	76.6997
ALL	35.9125	75.9294
