Pop	RepGroupNum	RepGroup
EMAC	1	NNE
STGEO	1	NNE
PIS	1	NNE
MYST	2	SNE
MON	2	SNE
TBRO	2	SNE
GIL	2	SNE
THAM	2	SNE
BRID	2	SNE
CON	2	SNE
QUIN	2	SNE
HOUS	2	SNE
PEQ	2	SNE
MIAN	2	SNE
HUD	2	SNE
DEL	3	MidAtlantic
NAN	3	MidAtlantic
RAP	3	MidAtlantic
CHOW	3	MidAtlantic
ROA	3	MidAtlantic
ALL	3	MidAtlantic
