Pop	RepGroupNum	RepGroup
EMAC	1	NNE
STGEO	1	NNE
EX	1	NNE
MYST	2	SNE
MON	2	SNE
GIL	2	SNE
CON	3	MidAtlantic
QUIN	3	MidAtlantic
HUD	3	MidAtlantic
DEL	3	MidAtlantic
NAN	3	MidAtlantic
RAP	3	MidAtlantic
JAM	3	MidAtlantic
CHOW	3	MidAtlantic
ROA	3	MidAtlantic
NEU	3	MidAtlantic
CF	4	SouthAtlantic
SAN	4	SouthAtlantic
SAV	4	SouthAtlantic
ALT	4	SouthAtlantic
SJR	4	SouthAtlantic
